iter	Passed	Remaining
0	87	87856
1	159	79341
2	233	77492
3	310	77398
4	381	75920
5	457	75813
6	530	75291
7	603	74875
8	682	75178
9	761	75398
10	840	75556
11	923	76039
12	998	75812
13	1078	75935
14	1156	75961
15	1231	75761
16	1307	75612
17	1385	75607
18	1463	75574
19	1542	75595
20	1621	75615
21	1700	75579
22	1780	75633
23	1862	75747
24	1943	75780
25	2021	75722
26	2100	75698
27	2177	75588
28	2257	75601
29	2335	75513
30	2414	75460
31	2494	75444
32	2568	75267
33	2644	75145
34	2729	75242
35	2805	75118
36	2883	75059
37	2963	75023
38	3041	74944
39	3122	74931
40	3201	74885
41	3280	74835
42	3360	74793
43	3442	74796
44	3520	74712
45	3602	74710
46	3681	74643
47	3757	74529
48	3835	74446
49	3914	74374
50	3987	74205
51	4058	73987
52	4132	73832
53	4207	73713
54	4283	73600
55	4356	73432
56	4427	73248
57	4497	73049
58	4571	72907
59	4641	72711
60	4715	72593
61	4786	72416
62	4858	72267
63	4932	72131
64	5001	71949
65	5075	71828
66	5149	71701
67	5222	71575
68	5292	71410
69	5366	71301
70	5437	71147
71	5505	70961
72	5574	70784
73	5642	70602
74	5709	70418
75	5776	70235
76	5847	70091
77	5915	69922
78	5982	69742
79	6053	69619
80	6124	69485
81	6195	69360
82	6264	69207
83	6331	69040
84	6397	68865
85	6467	68730
86	6534	68571
87	6600	68404
88	6669	68267
89	6735	68102
90	6802	67953
91	6866	67769
92	6932	67611
93	6999	67461
94	7065	67312
95	7134	67187
96	7203	67060
97	7269	66911
98	7331	66725
99	7394	66554
100	7458	66392
101	7526	66265
102	7589	66093
103	7654	65944
104	7716	65771
105	7780	65617
106	7847	65491
107	7911	65343
108	7974	65183
109	8039	65049
110	8101	64882
111	8167	64754
112	8229	64599
113	8295	64475
114	8360	64335
115	8427	64226
116	8495	64115
117	8559	63982
118	8628	63877
119	8694	63759
120	8759	63633
121	8828	63535
122	8892	63404
123	8958	63287
124	9022	63160
125	9089	63046
126	9156	62938
127	9221	62819
128	9285	62696
129	9351	62580
130	9416	62465
131	9480	62342
132	9543	62210
133	9609	62105
134	9675	61994
135	9740	61882
136	9805	61768
137	9871	61660
138	9936	61549
139	10000	61433
140	10065	61321
141	10131	61215
142	10199	61124
143	10268	61037
144	10334	60934
145	10404	60858
146	10472	60768
147	10537	60662
148	10600	60542
149	10664	60432
150	10732	60345
151	10799	60250
152	10864	60144
153	10934	60067
154	10997	59956
155	11064	59860
156	11127	59747
157	11189	59629
158	11251	59514
159	11312	59388
160	11377	59288
161	11439	59174
162	11504	59076
163	11571	58988
164	11635	58880
165	11699	58781
166	11763	58675
167	11829	58584
168	11895	58491
169	11958	58384
170	12023	58291
171	12091	58205
172	12153	58097
173	12219	58009
174	12283	57910
175	12352	57830
176	12420	57749
177	12483	57646
178	12550	57565
179	12617	57481
180	12684	57395
181	12751	57310
182	12814	57211
183	12876	57104
184	12943	57020
185	13008	56931
186	13073	56838
187	13136	56739
188	13200	56642
189	13263	56544
190	13332	56471
191	13402	56403
192	13465	56302
193	13533	56226
194	13596	56128
195	13662	56044
196	13731	55973
197	13796	55884
198	13860	55789
199	13923	55695
200	13988	55606
201	14052	55513
202	14121	55443
203	14184	55348
204	14250	55262
205	14314	55173
206	14378	55082
207	14445	55003
208	14513	54927
209	14574	54828
210	14635	54726
211	14704	54657
212	14768	54568
213	14830	54472
214	14895	54385
215	14959	54297
216	15022	54207
217	15089	54126
218	15156	54051
219	15219	53959
220	15288	53891
221	15347	53786
222	15412	53702
223	15477	53619
224	15542	53534
225	15608	53455
226	15672	53369
227	15734	53275
228	15797	53187
229	15864	53111
230	15930	53032
231	15997	52956
232	16060	52870
233	16124	52783
234	16185	52688
235	16250	52606
236	16318	52537
237	16386	52463
238	16446	52368
239	16511	52286
240	16578	52211
241	16643	52131
242	16707	52048
243	16774	51972
244	16837	51888
245	16900	51802
246	16963	51713
247	17027	51632
248	17091	51548
249	17152	51457
250	17219	51385
251	17283	51301
252	17345	51214
253	17410	51135
254	17476	51059
255	17535	50963
256	17598	50878
257	17660	50791
258	17721	50700
259	17785	50619
260	17852	50546
261	17918	50473
262	17982	50391
263	18048	50315
264	18109	50229
265	18173	50148
266	18238	50069
267	18300	49986
268	18366	49909
269	18430	49830
270	18496	49755
271	18561	49678
272	18624	49596
273	18686	49513
274	18755	49445
275	18822	49376
276	18889	49304
277	18953	49223
278	19018	49148
279	19083	49071
280	19148	48996
281	19213	48919
282	19277	48841
283	19343	48768
284	19414	48705
285	19478	48627
286	19546	48560
287	19609	48480
288	19675	48404
289	19742	48335
290	19807	48258
291	19872	48184
292	19939	48113
293	20007	48046
294	20073	47972
295	20138	47897
296	20204	47822
297	20269	47748
298	20329	47661
299	20390	47577
300	20451	47492
301	20511	47408
302	20577	47336
303	20646	47268
304	20709	47190
305	20772	47111
306	20835	47032
307	20901	46960
308	20963	46878
